Longitud,Latitud,ID_CRE,Razon_Social,Colonia,CP,Municipio,Entidad,Franquicia_Marca,Gas87,Gas91,Diesel
-116.9214,32.47641,2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",LIBRAMIENTO TIJUANA,22040,TIJUANA,Baja California,PEMEX,18.39,19.59,18.49
-99.74484,20.3037,2040,"DIGEPE, S.A. DE C.V. (07356)",S/C,42084,HUICHAPAN,Hidalgo,PERC,18.19,18.99,19.69
-106.4514,31.71947,2041,"DIAZ GAS, S.A. DE C.V.",MELCHOR OCAMPO,32380,JUÁREZ,Chihuahua,PEMEX,13.09,14.03,
-103.3042,20.71413,2042,"COMBU-EXPRESS, S.A. DE C.V.",HUENTITAN EL ALTO,44390,GUADALAJARA,Jalisco,Combu-Express,18.99,19.64,18.64
-98.29977,26.03787,2043,"PETROMAX, S.A. DE C.V.",LUIS DONALDO COLOSIO,88793,REYNOSA,Tamaulipas,Petro Seven,14.99,16.29,
-117.0715,32.51342,2044,"ESTACION RAEL, S. DE R.L. DE C.V.",EL CORTEZ,22600,TIJUANA,Baja California,CHEVRON,18.39,18.99,
-108.9685,25.7558,2045,MULTISERVICIOS LA PILARICA SA DE CV,EJIDO 20 DE NOVIEMBRE,81223,AHOME,Sinaloa,PEMEX,19.95,20.99,20.99
-100.2918,25.77202,2046,"PETROMAX, S.A. DE C.V.",EX HACIENDA EL CANADA,66050,GENERAL ESCOBEDO,Nuevo Leon,Petro Seven,19.49,20.59,19.69
-116.6079,31.86546,2047,"ESTACION RAEL, S. DE R.L. DE C.V.",SECCIÓN PRIMERA,22880,ENSENADA,Baja California,CHEVRON,17.99,19.09,17.35
-117.0457,32.31202,2048,"ESTACION PIRU, S.A. DE C.V.",S/C,22710,TIJUANA,Baja California,PEMEX,18.29,18.49,
-100.184,25.65562,2049,"PETROMAX, S.A. DE C.V.",RINCÓN DE GUADALUPE,67193,GUADALUPE,Nuevo Leon,Petro Seven,17.99,18.99,19.29
-101.4189,26.92554,2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,JARDINES DE GUADALUPE,25736,MONCLOVA,Coahuila,G500 NETWORK,18.6,18.75,
-97.44485,25.83842,2051,"PETROMAX, S.A. DE C.V.",LOS CEDROS,84709,MATAMOROS,Tamaulipas,Petro Seven,15.09,16.6,
-105.1947,21.4739,2052,"GRUPO OCTANO, S.A. DE C.V.",ATICAMA,63740,SAN BLAS,Nayarit,Octano,20.19,,20.69
-117.0271,32.5279,2053,"CIRCULO DOS, S.A. DE C.V.",ZONA RIO,22320,TIJUANA,Baja California,CHEVRON,17.99,19.79,
-99.1973,19.58616,2054,"Servicio Sevilla, S.A. de C.V.",SAN PEDRO BARRIENTOS,54010, TLALNEPANTLA DE BAZ,Estado de Mexico,CorpoGas,18.99,19.49,
-100.2365,25.6788,2055,"PETROMAX, S.A. DE C.V.",LA FUENTE,67150,GUADALUPE,Nuevo Leon,Petro Seven,18.09,18.99,
-92.65437,16.73187,2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",S/C,29264,SAN CRISTÓBAL DE LAS CASAS,Chiapas,PEMEX,18.97,18.99,19.46
-98.20425,26.0139,2057,"PETROMAX, S.A. DE C.V.",EJIDO EL GUERREÑO,88500,REYNOSA,Tamaulipas,Petro Seven,14.99,16.29,
-104.6217,24.02956,2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",S/C,34287,DURANGO,Durango,PEMEX,18.69,18.89,18.79
-100.9057,25.57358,2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,VETERANOS DE LA REVOLUCIÓN,25290,RAMOS ARIZPE,Coahuila,PEMEX,19.04,19.24,19.84
-106.1008,28.73367,2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,S/C,31104,CHIHUAHUA,Chihuahua,PEMEX,17.9,18.95,18.7
-103.9754,19.77838,2061,"GRUPO OCTANO, S.A. DE C.V.",S/C,48760,TONAYA,Jalisco,Octano,19.19,20.09,20.49
-117.0249,32.45102,2062,Becktrop Operadora SA de CV,FRANCISCO ZARCO,22660,TIJUANA,Baja California,PEMEX,17.69,18.39,18.59
-100.2726,25.73174,2063,YLIGARZA S.A. DE C.V.,PEDREGAL DE SANTO DOMINGO,66440,SAN NICOLÁS DE LOS GARZA,Nuevo Leon,PEMEX,17.95,18.55,
-117.0466,32.53171,2064,"ESTACION LA VICTORIA, S.A. DE C.V.",ZONA CENTRO,22000,TIJUANA,Baja California,CHEVRON,18.19,18.99,
-100.4652,25.68592,2065,"PETROMAX, S.A. DE C.V.",PÍO XII,66350,SANTA CATARINA,Nuevo Leon,Petro Seven,18.79,19.59,
-117.0226,32.51045,2066,"ESTACION LA VICTORIA, S.A. DE C.V.",CHULA VISTA,22045,TIJUANA,Baja California,CHEVRON,17.65,18.99,
-100.1466,25.66026,2067,"PETROMAX, S.A. DE C.V.",TAMAULIPAS,67190,GUADALUPE,Nuevo Leon,Petro Seven,17.99,18.99,
-100.9274,25.44151,2068,"PETROMAX, S.A. DE C.V.",MANANTIALES DE LA AURORA,25034,SALTILLO,Coahuila,Petro Seven,18.79,18.99,
-98.32712,26.06297,2069,"PETROMAX, S.A. DE C.V.",CUMBRES,88740,REYNOSA,Tamaulipas,Petro Seven,14.99,16.29,
-104.2109,19.03549,2070,RAMCAL SA DE CV,EL COLOMO,28800,MANZANILLO,Colima,PEMEX,18.66,19.16,19.36
-99.13844,19.3231,2071,"Gasomac, S.A. de C.V.",PUEBLO DE PABLO TEPETLALPA,4620,COYOACÁN,Ciudad de Mexico,CorpoGas,18.99,19.79,18.99
-99.16505,19.30205,2072,"Autoconsumo los Pinos, S.A. de C.V.",PEDREGAL DE CARRASCO,4700,COYOACÁN,Ciudad de Mexico,CorpoGas,18.99,19.79,
-109.0001,25.77298,2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",ANAHUAC,81280,AHOME,Sinaloa,PEMEX,19.95,20.39,
-101.1169,25.2563,2074,servicios energeticos plaza industrial sa de cv,S/C,25324,SALTILLO,Coahuila,PEMEX,19.09,19.29,19.79
-102.2834,22.12339,2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",EJIDO SAN FRANCISCO,20660,PABELLÓN DE ARTEAGA,Aguascalientes,Oxxo Gas,18.99,19.74,19.79
-93.09296,16.73384,2076,OLEUM GAS S.A. DE C.V.,CERRO HUECO,29094,TUXTLA GUTIÉRREZ,Chiapas,PEMEX,18.05,18.35,19.39
-109.2961,25.96616,2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",CENTRO,81330,AHOME,Sinaloa,PEMEX,19.85,,20.97
-99.36308,19.64046,2078,"Gasolinería Cid, S.A. de C.V.",VILLA NICOLÁS ROMERO CENTRO,4400, NICOLÁS ROMERO,Estado de Mexico,CorpoGas,18.49,18.59,18.59
-99.11606,19.74912,2079,"Gasolinería Perseo, S.A. de C.V.",CENTRAL NEXTLALPAN,55790,NEXTLALPAN,Estado de Mexico,CorpoGas,18.49,18.99,18.99
-109.2856,25.9744,2080,MULTISERVICIOS LA PILARICA SA DE CV,LOS MOCHIS,81278,AHOME,Sinaloa,PEMEX,19.94,20.39,19.99
-98.35571,26.06025,2081,"PETROMAX, S.A. DE C.V.",LOMAS DE LA JARACHINA,88730,REYNOSA,Tamaulipas,Petro Seven,14.99,16.29,
-100.1759,25.7805,2082,"PETROMAX, S.A. DE C.V.",PARQUE INDUSTRIAL PROLOGIS PARK,66600,APODACA,Nuevo Leon,Petro Seven,19.49,20.59,
-103.4519,20.73139,2083,"PETROMAX, S.A. DE C.V.",ZAPOPAN,45140,ZAPOPAN,Jalisco,Petro Seven,19.59,20.29,
-102.3053,21.89668,2084,"SERVICIO AVENIDA, S.A. DE C.V.",BUENOS AIRES,20020,AGUASCALIENTES,Aguascalientes,TOTAL,18.77,18.97,19.87
-101.6677,21.09879,2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",BUENOS AIRES,37479,LEÓN,Guanajuato,CHEVRON,17.65,17.99,19.75
-115.3865,32.63511,2086,"PETROMAX, S.A. DE C.V.",HACIENDA DORADA,21399,MEXICALI,Baja California,Petro Seven,17.09,17.89,19.39
-116.7158,32.49946,2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",ZONA EL GANDUL,21447,TECATE,Baja California,PEMEX,17.51,18.71,18.75
-106.3973,31.5649,2088,GRUPO GOCALVI SA DE CV,LOTE BRAVO,32695,JUÁREZ,Chihuahua,PEMEX,12.99,13.99,16.39
-104.288,19.07791,2089,"Socombumex, S.A. de C.V.",FONDEPORT,28219,MANZANILLO,Colima,CorpoGas,18.49,19.29,19.49
-98.99508,19.60755,2090,"Gasolinería Segovia, S.A. de C.V.",SAN ISIDRO ATLAUTENCO,55064, ECATEPEC DE MORELOS,Estado de Mexico,CorpoGas,18.99,19.99,19.29
-116.5917,31.7838,2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),EXEJIDO CHAPULTEPEC,22840,ENSENADA,Baja California,PEMEX,17.79,17.83,17.85
-108.9855,25.80147,2092,MULTISERVICIOS LA PILARICA SA DE CV,FRACCIONAMIENTO JUAN COTA,81224,AHOME,Sinaloa,PEMEX,19.96,20.99,20.99
-100.9704,19.79169,2093,"GRUPO OCTANO, S.A. DE C.V.",INDAPARAPEO,58970,INDAPARAPEO,Michoacan,Octano,19.14,20.58,19.59
-100.2963,25.82625,2094,"PETROMAX, S.A. DE C.V.",ANDRES CABALLERO MORENO,66080,GENERAL ESCOBEDO,Nuevo Leon,Petro Seven,19.49,20.59,19.49
-104.8868,21.52222,2095,"GRUPO OCTANO, S.A. DE C.V.",SAN JOSE,63030,TEPIC,Nayarit,Octano,18.99,19.29,20.69
-99.10838,19.67871,2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V.",SAN PABLO DE LAS SALINAS,54932,TULTITLÁN,Estado de Mexico,CorpoGas,18.99,19.79,18.99
-115.4722,32.60843,2097,"PETROMAX, S.A. DE C.V.",DESARROLLO URBANO XOCHIMILCO,21380,MEXICALI,Baja California,Petro Seven,17.29,17.79,17.39
-99.10677,19.63609,2098,"PETROMAX, S.A. DE C.V.",VILLAS DE LAS FLORES,55715,COACALCO DE BERRIOZÁBAL,Estado de Mexico,Petro Seven,19.15,19.99,
-104.8489,21.47011,2099,"GRUPO OCTANO, S.A. DE C.V.",PUENTE DE SAN CAYETANO,63194,TEPIC,Nayarit,Octano,19.44,19.49,19.69
-100.2104,25.73217,2100,"PETROMAX, S.A. DE C.V.",LA ENCARNACIÓN,66633,APODACA,Nuevo Leon,Petro Seven,18.99,20.29,
-103.7721,19.14014,2101,"CRUCERO LAS GOLONDRINAS,SA DE CV",CENTRO COLIMA,28000,COLIMA,Colima,PEMEX,18.68,18.99,19
-116.953,32.49127,2102,Becktrop Operadora SA de CV,BENTON,22115,TIJUANA,Baja California,PEMEX,18.29,18.99,18.69
-100.1302,25.70155,2103,"PETROMAX, S.A. DE C.V.",LABOR DEL CORRIENTON,66600,APODACA,Nuevo Leon,Petro Seven,18.39,19.99,19.59
-116.9663,32.51104,2104,"ESTACION RAEL, S. DE R.L. DE C.V.",LOS SANTOS,22104,TIJUANA,Baja California,CHEVRON,17.99,19.29,17.55
-105.2828,21.54249,2105,"GRUPO OCTANO, S.A. DE C.V.",CENTRO,63740,SAN BLAS,Nayarit,Octano,20.19,20.66,20.69
-102.2924,21.91625,2106,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV,CENTRO COMERCIAL AGROPECUARIO,20135,AGUASCALIENTES,Aguascalientes,PEMEX,18.99,19.19,19.99
-100.9351,29.30929,2107,"SERVICIO CIBOLA, S.A. DE C.V.",11 DE OCTUBRE,26200,ACUÑA,Coahuila,PEMEX,13.69,14.99,17.89
-103.3228,25.53419,2108,"PETROMAX, S.A. DE C.V.",EJIDO EL AGUILA,27275,TORREÓN,Coahuila,Petro Seven,18.99,19.49,
-102.4106,22.14957,2109,MULTISERVICIOS SIGAS S.A. DE C.V.,CENTRO SAN JOSÉ DE GRACIA,20500,SAN JOSÉ DE GRACIA,Aguascalientes,TOTAL,19.42,19.84,19.85
-109.0138,25.73669,2110,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",EJIDO RICARDO FLORES MAGON,81364,AHOME,Sinaloa,PEMEX,19.99,20.99,20.97
-98.38633,26.04917,2111,"PETROMAX, S.A. DE C.V.",CONDADOS DEL NORTE,88780,REYNOSA,Tamaulipas,Petro Seven,14.99,16.29,
-99.25086,19.55827,2112,"Servicio Vega Atizapan, S.A. de C.V.",PARAÍSO AVÍCOLA ATIZAPÁN DE ZARAGOZA,52965,ATIZAPÁN DE ZARAGOZA,Estado de Mexico,CorpoGas,19.19,19.79,19.29
-116.977,32.50455,2113,"ESTACION RAEL, S. DE R.L. DE C.V.",LA MESA,22450,TIJUANA,Baja California,CHEVRON,18.29,18.99,19.09
-100.1915,25.72328,2114,"PETROMAX, S.A. DE C.V.",HACIENDA SAN MIGUEL,67110,GUADALUPE,Nuevo Leon,Petro Seven,18.89,20.29,
-100.941,25.52635,2115,"ESTACION RAMOS, S.A. DE C.V.",MANANTIALES DEL VALLE,25900,RAMOS ARIZPE,Coahuila,PEMEX,17.35,17.85,
-97.53786,25.85833,2116,"PETROMAX, S.A. DE C.V.",HACIENDA QUINTA REAL,87345,MATAMOROS,Tamaulipas,Petro Seven,15.29,16.49,
-101.6691,21.12003,2117,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",COECILLO,37219,LEÓN,Guanajuato,CHEVRON,19.59,20.79,
-100.7924,19.90187,2118,"GRUPO OCTANO, S.A. DE C.V.",ARARÓ,58950,ZINAPÉCUARO,Michoacan,Octano,19.58,20.38,20.99
-100.1696,25.64484,2119,"PETROMAX, S.A. DE C.V.",EX HACIENDA EL ROSARIO,67195,JUÁREZ,Nuevo Leon,Petro Seven,17.99,18.99,
-110.93,31.27435,2120,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",SAN CARLOS,84090,NOGALES,Sonora,CHEVRON,15.99,17.49,
-100.3682,25.67366,2121,"PETROMAX, S.A. DE C.V.",MIRAVALLE,64660,MONTERREY,Nuevo Leon,Petro Seven,19.89,20.89,
